"campaignid","sample","family","genus","species","length","number","range"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",61.53423,1,1238.05298
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",68.97184,1,1551.34748
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",76.08196,1,1737.93341
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",105.81531,1,2261.45275
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",70.02884,1,1869.46808
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",75.78068,1,1972.24693
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",101.08219,1,1043.51253
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",60.08682,1,2130.4263
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",65.24281,1,2399.72961
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",117.95979,1,1361.81172
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",182.60184,1,1903.2108
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",66.134,1,1710.2266
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",109.84656,1,1469.86127
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",100.35509,1,1860.22906
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",103.98047,1,820.2421
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",65.25045,1,1912.90664
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",97.26616,1,1605.68847
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",108.86901,1,2587.89074
