"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id"
"npz6.10","Tetraodontidae","Lagocephalus","sceleratus",424.6619,2695.93282,1,1049.95090708767,42.46619,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Tetraodontidae","Lagocephalus","sceleratus",591.70621,3868.42491,1,2769.53758762206,59.170621,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Tetraodontidae","Torquigener","pallimaculatus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Trygonorrhinidae","Aptychotrema","vincentiana",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.12","Acanthuridae","Acanthurus","grammoptilus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Carangidae","Decapterus","muroadsi",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Carangidae","Seriola","dumerili",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Carangidae","Seriola","hippos",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.12","Carcharhinidae","Galeocerdo","cuvier",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
