"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Carangidae","Seriola","hippos",542.53282,3130.68968,-28.0912,113.4589,20210511,11:56:15,"NPZ6","No-take","npz6.14",25.5,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Carangidae","Seriola","hippos",542.53282,3130.68968,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Carangidae","Seriola","hippos",542.53282,3130.68968,-28.0912,113.4589,20210511,11:56:15,"NPZ6","No-take","npz6.14",25.5,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Carangidae","Seriola","hippos",542.53282,3130.68968,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Anampses","geographicus",136.12114,2004.6276,-28.0912,113.4589,20210511,11:56:15,"NPZ6","No-take","npz6.14",25.5,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Anampses","geographicus",136.12114,2004.6276,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Anampses","geographicus",136.12114,2004.6276,-28.0912,113.4589,20210511,11:56:15,"NPZ6","No-take","npz6.14",25.5,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Anampses","geographicus",136.12114,2004.6276,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Bodianus","bilunulatus",289.15757,1450.31237,-28.0912,113.4589,20210511,11:56:15,"NPZ6","No-take","npz6.14",25.5,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Bodianus","bilunulatus",289.15757,1450.31237,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Bodianus","bilunulatus",289.15757,1450.31237,-28.0912,113.4589,20210511,11:56:15,"NPZ6","No-take","npz6.14",25.5,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.14","2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Bodianus","bilunulatus",289.15757,1450.31237,-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Yes","Yes"
