OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
npz6.6	0	L031 (02).MP4	4086	R032 (02).MP4	29359	3.17206		-1.00000	-13.66707	41.42172	-1267.36270	0.62614	0.62847	3.31549	4.92686	1268.11307	1.73016								sync		
npz6.6	2	L031 (02).MP4	64745	R032 (03).MP4	8957	20.03863	1	1.41141	-2040.37327	83.61326	-4382.94143	17.43636	2.29083	38.09088	9.18319	4835.31693	24.97235	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.8	0	L033 (07).MP4	72527	R034 (07).MP4	22071	20.16654		-1.00000	-9.20186	124.22388	-610.68901	0.31099	0.33846	0.76789	0.78856	623.26344	11.38955								sync		
npz6.9	0	L037 (07).MP4	25085	R038 (07).MP4	28330	6.97502		-1.00000	-92.30840	97.79357	-667.68920	0.35694	0.35884	0.91718	7.56457	681.09712	11.07860								sync		
npz6.9	2	L037 (11).MP4	32801	R038 (11).MP4	36166	99.27890	1	36.11691	-345.80240	445.15205	-1641.52585	1.33390	1.67649	5.35464	20.88075	1735.61135	18.61408	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.9	3	L037 (11).MP4	33254	R038 (11).MP4	36619	99.40486	1	36.24287	-1127.34447	-336.84307	-1817.77019	3.45209	1.31589	5.71911	2.01584	2165.33076	33.03928	Labridae	Bodianus	spp		1	AD	Passing			
npz6.9	7	L037 (11).MP4	33830	R038 (11).MP4	37195	99.56502	1	36.40303	-30.98226	52.12648	-1347.34769	0.67101	0.67836	3.64386	21.88009	1348.71156	2.21807	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.9	8	L037 (11).MP4	33838	R038 (11).MP4	37203	99.56725	1	36.40526	503.47042	-67.15258	-1361.52920	1.41586	0.67522	3.60640	22.30805	1453.18743	20.51953	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.9	10	L037 (11).MP4	33918	R038 (11).MP4	37283	99.58949	1	36.42750	-170.89285	-177.00296	-1366.85456	0.80505	0.80682	3.76905	14.76007	1388.82173	10.51777	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.9	11	L037 (11).MP4	33918	R038 (11).MP4	37283	99.58949	1	36.42750	-723.81251	-186.70546	-1738.56972	2.48944	1.02661	5.93668	16.63523	1892.45559	23.37642	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.9	12	L037 (11).MP4	33918	R038 (11).MP4	37283	99.58949	1	36.42750	-758.26386	-170.85320	-1421.47203	2.02381	0.80270	3.77103	4.95420	1620.10420	28.76760	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.9	14	L037 (11).MP4	34031	R038 (11).MP4	37396	99.62091	1	36.45892	629.22968	-33.28430	-1274.17230	1.51870	0.61140	2.99685	25.45740	1421.46153	26.33950	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.9	22	L037 (11).MP4	62179	R038 (11).MP4	65544	107.44762	1	44.28563	27.02628	296.84765	-1858.01826	0.91370	1.44599	6.83962	38.16658	1881.77597	8.68582	Lethrinidae	Lethrinus	miniatus	37351009	1	AD	Passing			
npz6.9	23	L037 (11).MP4	69077	R038 (11).MP4	72442	109.36565	1	46.20366	118.18168	1192.64497	-3876.70196	2.05356	9.35706	29.23401	63.65952	4057.73176	16.75105	Carangidae	Seriola	dumerili	37337025	1	AD	Passing			
npz6.BOSS41	0	L033 (15).MP4	23235	R034 (15).MP4	22585	6.46062		-1.00000	-63.26209	-25.55572	-686.72719	0.35828	0.34072	0.96816	4.35757	690.10827	5.72764								sync		
npz6.C01	0	L039 (14).MP4	3636	R040 (14).MP4	2776	1.01101		-1.00000	-25.48918	0.16042	-1048.40894	0.52359	0.51300	2.19121	2.54400	1048.71875	1.47075								sync		
npz6.C01	2	L039 (20).MP4	11422	R040 (20).MP4	10441	138.37991	1	26.38997	2506.15573	97.44194	-5797.58686	27.03865	3.23926	63.24586	20.79826	6316.82870	23.37938	Tetraodontidae	Lagocephalus	sceleratus	37467007	1	AD	Passing			
npz6.C01	3	L039 (20).MP4	11462	R040 (20).MP4	10481	138.39103	1	26.40110	1529.78158	357.45793	-5513.74228	16.23662	5.05968	58.63058	14.83007	5733.18077	15.80066	Tetraodontidae	Lagocephalus	sceleratus	37467007	1	AD	Passing			
npz6.C02	0	L043 (18).MP4	71042	R044 (15).MP4	74112	87.32251		-1.00000	-9.28740	-62.31413	-931.45252	0.47162	0.47531	1.84407	8.03722	933.58079	3.93968								sync		
npz6.C02	1	L043 (20).MP4	75847	R044 (17).MP4	78917	133.72109	1	39.03344	-258.85448	89.10023	-740.99918	0.52235	0.39415	1.16975	1.27724	789.95207	20.25363	Tetraodontidae	Lagocephalus	sceleratus	37467007	1	AD	Passing			
